Genome Cluster ID,Number of Non-redundant Genomes
Cluster_1516,6
Cluster_1517,3
Cluster_1518,3
Cluster_1519,29
Cluster_152,1
Cluster_1520,5
Cluster_1521,15
Cluster_1522,1
Cluster_1523,5
Cluster_1524,1
Cluster_1525,1
Cluster_1526,5
Cluster_1527,1
Cluster_1528,1
Cluster_1529,3
Cluster_153,4
Cluster_1530,1
Cluster_1531,2
Cluster_1532,2
Cluster_1533,6
Cluster_1534,2
Cluster_1535,2
Cluster_1536,1
Cluster_1537,2
Cluster_1538,1
Cluster_1539,3
Cluster_154,26
Cluster_1540,1
Cluster_1541,3
Cluster_1542,17
Cluster_1543,4
Cluster_1544,2
Cluster_1545,2
Cluster_1546,11
Cluster_1547,4
Cluster_1548,4
Cluster_1549,1
Cluster_155,3
Cluster_1550,4
Cluster_1551,4
Cluster_1552,2
Cluster_1553,9
Cluster_1554,17
Cluster_1555,4
Cluster_1556,3
Cluster_1557,12
Cluster_1558,1
Cluster_1559,5
Cluster_156,6
Cluster_1560,2
Cluster_1561,1
Cluster_1562,3
Cluster_1563,14
Cluster_1564,2
Cluster_1565,1
Cluster_1566,1
Cluster_1567,1
Cluster_1568,1
Cluster_1569,1
Cluster_157,2
Cluster_1570,1
Cluster_1571,4
Cluster_1572,1
Cluster_1573,1
Cluster_1574,7
Cluster_1575,14
Cluster_1576,1
Cluster_1577,1
Cluster_1578,2
Cluster_1579,2
Cluster_158,199
Cluster_1580,3
Cluster_1581,2
Cluster_1582,1
Cluster_1583,13
Cluster_1584,1
Cluster_1585,1
Cluster_1586,3
Cluster_1587,1
Cluster_1588,5
Cluster_1589,1
Cluster_159,2134
Cluster_1590,1
Cluster_1591,1
Cluster_1592,1
Cluster_1593,2
Cluster_1594,1
Cluster_1595,1
Cluster_1596,2
Cluster_1597,2
Cluster_1598,1
Cluster_1599,2
Cluster_16,2998
Cluster_160,97
Cluster_1600,1
Cluster_1601,1
Cluster_1602,2
Cluster_1603,1
Cluster_1604,1
Cluster_1605,2
Cluster_1606,2
Cluster_1607,18
Cluster_1608,1
Cluster_1609,2
Cluster_161,64
Cluster_1610,1
Cluster_1611,2
Cluster_1612,2
Cluster_1613,2
Cluster_1614,1
Cluster_1615,1
Cluster_1616,1
Cluster_1617,1
Cluster_1618,2
Cluster_1619,1
Cluster_162,16
Cluster_1620,1
Cluster_1621,4
Cluster_1622,9
Cluster_1623,7
Cluster_1624,1
Cluster_1625,2
